Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           std::vector<LogEntry, std::allocator<LogEntry> >::~vector() [64]
                0.00    0.00       1/1           std::vector<String, std::allocator<String> >::vector(unsigned long, String const&, std::allocator<String> const&) [65]
                0.00    0.00       3/289840      String::operator==(String const&) const [48]
                0.00    0.00       3/2934500     String::operator=(String) [29]
                0.00    0.00       1/69952       std::vector<String, std::allocator<String> >::~vector() [55]
                0.00    0.00       5/6757838     String::~String() [36]
                0.00    0.00       6/234672      std::vector<String, std::allocator<String> >::operator[](unsigned long) [86]
                0.00    0.00       4/239937      String::String(char const*) [84]
                0.00    0.00       1/69952       std::allocator<String>::allocator() [96]
                0.00    0.00       1/139953      String::String() [91]
                0.00    0.00       1/69953       std::allocator<String>::~allocator() [94]
-----------------------------------------------
                0.00    2.03       1/1           main [1]
[2]     99.0    0.00    2.03       1         parse(std::istream&) [2]
                0.00    1.47    9999/9999        LogEntry::LogEntry(String) [3]
                0.02    0.35 1007483/2644560     String::operator+(String const&) const [5]
                0.00    0.11    9999/9999        std::vector<LogEntry, std::allocator<LogEntry> >::push_back(LogEntry const&) [20]
                0.00    0.04    9999/9999        LogEntry::operator=(LogEntry const&) [34]
                0.00    0.02 1017482/2934500     String::operator=(String) [29]
                0.01    0.00    9999/858950      String::String(String const&) [7]
                0.01    0.00 1007483/2874438     String::String(char) [37]
                0.01    0.00 2034965/6757838     String::~String() [36]
                0.00    0.00   10000/36382       LogEntry::~LogEntry() [57]
                0.00    0.00       1/1           LogEntry::LogEntry() [70]
                0.00    0.00    9999/239937      String::String(char const*) [84]
                0.00    0.00       1/1           std::vector<LogEntry, std::allocator<LogEntry> >::vector() [141]
                0.00    0.00       1/139953      String::String() [91]
-----------------------------------------------
                0.00    1.47    9999/9999        parse(std::istream&) [2]
[3]     71.7    0.00    1.47    9999         LogEntry::LogEntry(String) [3]
                0.00    0.60    9992/9992        Date::Date(String) [8]
                0.01    0.55   29983/69951       String::split(char) const [4]
                0.00    0.21    9992/9992        Time::Time(String) [12]
                0.05    0.00   67373/858950      String::String(String const&) [7]
                0.00    0.02   49960/2644560     String::operator+(String const&) const [5]
                0.00    0.02    9999/19999       Date::operator=(Date const&) [35]
                0.00    0.00   29983/69952       std::vector<String, std::allocator<String> >::~vector() [55]
                0.00    0.00   39989/2934500     String::operator=(String) [29]
                0.00    0.00    7421/10382507     String::length() const [6]
                0.00    0.00  147330/6757838     String::~String() [36]
                0.00    0.00   10006/10008       Date::Date() [58]
                0.00    0.00    9992/289840      String::operator==(String const&) const [48]
                0.00    0.00    9999/689575      std::vector<String, std::allocator<String> >::size() const [45]
                0.00    0.00    9992/2874438     String::String(char) [37]
                0.00    0.00    9999/46382       Date::~Date() [63]
                0.00    0.00  114762/234672      std::vector<String, std::allocator<String> >::operator[](unsigned long) [86]
                0.00    0.00   29997/139953      String::String() [91]
                0.00    0.00   20005/239937      String::String(char const*) [84]
                0.00    0.00   10006/10008       Time::Time() [107]
